"","dates","ret_5_yr_daily","ret_10_yr_daily","bps_credit_aaa","bps_credit_baa","spread_aaa.minus.baa","Close","Adj","PX_LAST","snp_ret","clusters_fcm"
"1542",1996-02-15,5.239,5.699,6.9,7.55,0.65,651.32,1196.2699,16.13,-0.00631553328299583,1
"1543",1996-02-16,5.297,5.779,6.98,7.63,0.65,647.98,1190.288,15.37,-0.00500046018043252,2
"1544",1996-02-20,5.524,5.984,7.12,7.76,0.64,640.65,1176.8416,16.8,-0.0112967617921041,2
"1545",1996-02-21,5.527,5.965,7.12,7.76,0.64,648.1,1190.7343,14.47,0.0118050721524461,2
"1546",1996-02-22,5.447,5.903,7.11,7.75,0.64,658.86,1210.5516,14.56,0.0166429236144452,2
"1547",1996-02-23,5.509,5.959,7.17,7.81,0.64,659.08,1210.986,14.78,0.00035884467873992,2
"1548",1996-02-26,5.554,6.019,7.18,7.82,0.64,650.46,1195.1633,16.38,-0.0130659644289861,2
"1549",1996-02-27,5.635,6.068,7.22,7.87,0.65,647.24,1189.3722,16.63,-0.00484544664314903,2
"1550",1996-02-28,5.676,6.088,7.22,7.88,0.66,644.75,1185.1577,16.72,-0.00354346604031946,2
"1551",1996-02-29,5.731,6.098,7.25,7.91,0.66,640.43,1177.3118,17.04,-0.00662013164999057,2
"1552",1996-03-01,5.578,5.959,7.15,7.81,0.66,644.37,1184.5806,16.72,0.00617406535804708,2
"1553",1996-03-04,5.513,5.901,7.1,7.78,0.68,650.81,1196.6195,16.67,0.0101630062150267,2
"1554",1996-03-05,5.581,5.946,7.13,7.81,0.68,655.79,1205.8981,16.1,0.00775401036001845,2
"1555",1996-03-06,5.68,6.051,7.19,7.88,0.69,652,1199.2882,16.56,-0.00548130890993207,2
"1556",1996-03-07,5.709,6.071,7.21,7.9,0.69,653.65,1202.4057,16.49,0.00259945857884707,2
"1557",1996-03-08,6.06,6.407,7.42,8.12,0.7,633.5,1165.3406,20.7,-0.0308257853401726,2
"1558",1996-03-11,6.008,6.329,7.38,8.06,0.68,640.02,1177.3907,19.4,0.0103404103486997,2
"1559",1996-03-12,6.03,6.356,7.42,8.1,0.68,637.09,1172.0088,19.09,-0.00457104001246134,2
"1560",1996-03-13,6.042,6.358,7.4,8.08,0.68,638.55,1175.2406,18.13,0.00275748782773646,2
"1561",1996-03-14,6.042,6.352,7.4,8.08,0.68,640.87,1179.528,16.93,0.00364810405630978,2
"1562",1996-03-15,6.177,6.453,7.48,8.16,0.68,641.43,1180.5995,16.54,0.000908414213142897,2
"1563",1996-03-18,6.151,6.419,7.46,8.15,0.69,652.65,1201.3074,17.31,0.017540156505233,2
"1564",1996-03-19,6.151,6.415,7.43,8.12,0.69,651.69,1199.569,18.35,-0.00144709006204403,2
"1565",1996-03-20,6.013,6.302,7.41,8.1,0.69,649.98,1196.4351,18.66,-0.00261252166403103,2
"1566",1996-03-21,6.009,6.284,7.35,8.06,0.71,649.19,1195.053,17.74,-0.00115518175620208,2
"1567",1996-03-22,6.058,6.329,7.38,8.09,0.71,650.62,1197.6889,17.05,0.00220567623360637,2
"1568",1996-03-25,5.972,6.238,7.32,8.02,0.7,650.04,1196.6212,17.84,-0.000891466890943098,2
"1569",1996-03-26,5.991,6.236,7.33,8.03,0.7,652.97,1202.0148,17.8,0.00450735788401532,2
"1570",1996-03-27,6.112,6.336,7.42,8.12,0.7,648.91,1194.9026,17.89,-0.00591689886014717,2
"1571",1996-03-28,6.184,6.398,7.47,8.17,0.7,648.94,1194.9769,18.16,6.21808003430521e-05,2
"1572",1996-03-29,6.086,6.327,7.42,8.12,0.7,645.5,1188.6424,18.88,-0.00530093929012346,2
"1573",1996-04-01,6.045,6.281,7.4,8.1,0.7,653.73,1203.8084,17.9,0.0127590939041043,2
"1574",1996-04-02,5.988,6.224,7.35,8.06,0.71,655.26,1206.8517,16.45,0.00252806011322071,2
"1575",1996-04-03,6.034,6.257,7.37,8.08,0.71,655.88,1208.0135,16.33,0.000962670061284319,2
"1576",1996-04-04,6.125,6.346,7.4,8.1,0.7,655.86,1208.0673,16.18,4.45359261298902e-05,2
"1577",1996-04-08,6.412,6.604,7.64,8.34,0.7,644.24,1187.0861,18.72,-0.0173675754653734,2
"1578",1996-04-09,6.347,6.544,7.56,8.26,0.7,642.19,1183.3294,17.32,-0.00316463986900353,2
"1579",1996-04-10,6.48,6.663,7.63,8.33,0.7,633.5,1167.3567,20.22,-0.0134981012049561,2
"1580",1996-04-11,6.491,6.666,7.64,8.34,0.7,631.18,1163.1953,19.65,-0.00356480585582792,2
"1581",1996-04-12,6.29,6.5,7.51,8.22,0.71,636.71,1173.3865,17.38,0.00876138340655261,2
"1582",1996-04-15,6.253,6.464,7.49,8.19,0.7,642.49,1184.0384,16.83,0.00907791252072513,2
"1583",1996-04-16,6.286,6.482,7.46,8.16,0.7,645,1188.664,16.45,0.00390663005524152,2
"1584",1996-04-17,6.338,6.523,7.5,8.19,0.69,641.61,1182.5746,17.07,-0.0051228942745806,2
"1585",1996-04-18,6.372,6.557,7.53,8.22,0.69,643.61,1186.3038,16.41,0.00315345856405168,2
"1586",1996-04-19,6.319,6.517,7.5,8.18,0.68,645.07,1188.9949,15.12,0.00226847456781307,2
"1587",1996-04-22,6.282,6.483,7.45,8.13,0.68,647.89,1194.1928,15.38,0.00437167560600985,2
"1588",1996-04-23,6.3,6.515,7.49,8.16,0.67,651.58,1201.011,15.01,0.00570946332953936,2
"1589",1996-04-24,6.36,6.584,7.5,8.18,0.68,650.17,1198.4559,14.91,-0.00212745761695775,2
"1590",1996-04-25,6.287,6.531,7.49,8.18,0.69,652.87,1203.4417,14.72,0.00416018645325218,2
"1591",1996-04-26,6.28,6.525,7.49,8.17,0.68,653.46,1204.6167,14.75,0.000976366366563461,2
"1592",1996-04-29,6.354,6.598,7.52,8.2,0.68,654.16,1205.9464,15.45,0.00110383659798175,2
"1593",1996-04-30,6.413,6.67,7.59,8.27,0.68,654.17,1206.0744,15.83,0.000106140704097569,2
"1594",1996-05-01,6.383,6.672,7.61,8.29,0.68,654.58,1206.9576,16.07,0.000732293132164971,2
"1595",1996-05-02,6.574,6.859,7.75,8.43,0.68,643.38,1186.4904,18.62,-0.0169576793749839,2
"1596",1996-05-03,6.604,6.895,7.8,8.48,0.68,641.63,1183.3148,16.7,-0.00267646497603335,2
"1597",1996-05-06,6.559,6.841,7.78,8.46,0.68,640.81,1181.9097,16.92,-0.00118742704815335,2
"1598",1996-05-07,6.593,6.855,7.77,8.45,0.68,638.26,1177.2383,16.87,-0.00395241700783059,2
"1599",1996-05-08,6.507,6.736,7.7,8.38,0.68,644.77,1189.5607,15.78,0.010467209570059,2
"1600",1996-05-09,6.586,6.849,7.71,8.39,0.68,645.44,1191.0912,16.99,0.00128660941808188,2
"1601",1996-05-10,6.473,6.747,7.64,8.32,0.68,652.09,1203.4649,15.61,0.0103885411965094,2
"1602",1996-05-13,6.451,6.716,7.61,8.29,0.68,661.51,1221.0708,15.16,0.0146293423264775,2
"1603",1996-05-14,6.376,6.643,7.56,8.24,0.68,665.6,1228.8394,14.9,0.00636212085327084,2
"1604",1996-05-15,6.391,6.643,7.55,8.23,0.68,665.42,1228.6904,15.59,-0.000121252622596667,2
"1605",1996-05-16,6.477,6.729,7.6,8.27,0.67,664.85,1227.7705,15.71,-0.000748683313550648,2
"1606",1996-05-17,6.41,6.652,7.54,8.22,0.68,668.91,1235.7691,15.13,0.00651473544933674,2
"1607",1996-05-20,6.406,6.647,7.52,8.19,0.67,673.15,1243.7204,15.8,0.0064342926198753,2
"1608",1996-05-21,6.406,6.66,7.53,8.21,0.68,672.76,1243.0129,16,-0.000568857759348469,2
"1609",1996-05-22,6.38,6.63,7.51,8.18,0.67,678.42,1253.6425,15.5,0.00855148003693283,2
"1610",1996-05-23,6.429,6.679,7.56,8.23,0.67,676,1249.2021,16.17,-0.00354199861603284,2
"1611",1996-05-24,6.41,6.651,7.54,8.21,0.67,678.51,1253.8585,15.54,0.0037274993373771,2
"1612",1996-05-28,6.436,6.672,7.55,8.21,0.66,672.23,1242.2613,16.92,-0.00924920953999208,2
"1613",1996-05-29,6.561,6.787,7.61,8.27,0.66,667.93,1234.6212,17.15,-0.00615015536586373,2
"1614",1996-05-30,6.573,6.793,7.61,8.27,0.66,671.7,1241.7982,16.02,0.0058131190360249,2
"1615",1996-05-31,6.631,6.852,7.67,8.33,0.66,669.12,1237.0932,16.07,-0.00378886038005203,2
"1616",1996-06-03,6.642,6.867,7.69,8.35,0.66,667.68,1234.4418,16.86,-0.00214324999927246,2
"1617",1996-06-04,6.623,6.854,7.69,8.35,0.66,672.56,1243.5302,16.18,0.00736235600576703,2
"1618",1996-06-05,6.574,6.8,7.65,8.33,0.68,678.44,1254.7429,16.04,0.00901682966766713,2
"1619",1996-06-06,6.5,6.739,7.57,8.25,0.68,673.03,1244.9565,16.84,-0.00779952610212017,2
"1620",1996-06-07,6.702,6.9,7.73,8.41,0.68,673.31,1245.4916,16.1,0.000429814214392275,2
"1621",1996-06-10,6.793,7.004,7.75,8.43,0.68,672.16,1243.421,16.78,-0.001662476085748,2
"1622",1996-06-11,6.781,6.989,7.76,8.45,0.69,670.97,1241.2212,16.68,-0.00176915139763611,2
"1623",1996-06-12,6.85,7.062,7.81,8.51,0.7,669.04,1238.2043,17,-0.00243059013171855,2
"1624",1996-06-13,6.766,6.997,7.82,8.51,0.69,667.92,1236.1946,17.12,-0.00162307625647889,2
"1625",1996-06-14,6.702,6.931,7.74,8.44,0.7,665.85,1232.3745,18.64,-0.00309020925993378,2
"1626",1996-06-17,6.672,6.898,7.7,8.4,0.7,665.16,1231.1465,17.46,-0.000996450348493772,2
"1627",1996-06-18,6.721,6.935,7.73,8.43,0.7,662.06,1225.4271,17.45,-0.0046455884819556,2
"1628",1996-06-19,6.733,6.951,7.74,8.44,0.7,661.96,1225.2553,17.54,-0.000140196018188333,2
"1629",1996-06-20,6.748,6.964,7.76,8.46,0.7,662.1,1225.562,16.97,0.000250315179211928,2
"1630",1996-06-21,6.721,6.946,7.76,8.46,0.7,666.84,1234.3644,15.8,0.00718233757247698,2
"1631",1996-06-24,6.721,6.935,7.72,8.42,0.7,668.85,1238.0851,15.91,0.00301426385919756,2
"1632",1996-06-25,6.676,6.889,7.7,8.4,0.7,668.48,1237.4094,15.43,-0.000545762161260164,2
"1633",1996-06-26,6.672,6.893,7.69,8.38,0.69,664.39,1230.2209,15.23,-0.00580931420110432,2
"1634",1996-06-27,6.599,6.832,7.64,8.34,0.7,668.55,1237.9403,14.19,0.0062748080446365,2
"1635",1996-06-28,6.462,6.711,7.54,8.24,0.7,670.63,1241.7918,13.68,0.0031112162678604,2
"1636",1996-07-01,6.51,6.748,7.54,8.24,0.7,675.88,1251.7085,13.78,0.00798579922979037,2
